"cluster_membership","lat_round","lon_round"
"19",41.683,-72.216
"19",41.683,-72.216
"19",41.683,-72.216
"19",41.683,-72.216
"13",41.581,-72.624
"13",41.581,-72.624
"13",41.581,-72.624
"14",41.803,-72.441
"19",41.803,-72.441
"19",41.803,-72.441
"14",41.776,-72.521
"14",41.776,-72.521
"14",41.776,-72.521
"1",41.922,-73.049
"1",41.922,-73.049
"1",41.922,-73.049
"1",41.922,-73.049
"1",41.922,-73.049
"1",41.922,-73.049
"15",41.669,-72.783
"15",41.669,-72.783
"15",41.669,-72.783
"15",41.669,-72.783
"15",41.669,-72.783
"15",41.669,-72.783
"18",41.63,-72.466
"18",41.63,-72.466
"18",41.63,-72.466
"13",41.706,-72.663
"13",41.706,-72.663
"13",41.706,-72.663
"8",41.753,-72.744
"8",41.753,-72.744
"8",41.753,-72.744
"19",41.814,-72.26
"19",41.814,-72.26
"19",41.814,-72.26
"19",41.814,-72.26
"19",41.814,-72.259
"19",41.814,-72.259
"10",41.514,-73.124
"10",41.514,-73.124
"10",41.514,-73.124
"14",41.949,-72.492
"14",41.949,-72.492
"14",41.949,-72.492
"14",41.794,-72.555
"14",41.794,-72.555
"14",41.794,-72.555
"14",41.794,-72.555
"14",41.794,-72.555
"14",41.794,-72.555
"14",41.853,-72.452
"14",41.853,-72.452
"14",41.853,-72.452
"14",41.854,-72.452
"14",41.854,-72.452
"14",41.854,-72.452
"13",41.706,-72.607
"13",41.706,-72.607
"13",41.706,-72.607
"13",41.706,-72.607
"13",41.706,-72.607
"13",41.706,-72.607
"2",41.668,-73.02
"2",41.668,-73.02
"2",41.668,-73.02
"2",41.668,-73.021
"2",41.668,-73.021
"2",41.668,-73.021
"18",42.023,-71.949
"18",42.023,-71.949
"18",42.023,-71.949
"19",41.926,-72.252
"19",41.926,-72.252
"19",41.926,-72.252
"1",41.817,-72.971
"1",41.817,-72.971
"14",41.821,-72.5
"14",41.821,-72.5
"14",41.821,-72.5
"19",42.029,-72.14
"19",42.029,-72.14
"19",42.029,-72.14
"14",41.931,-72.686
"14",41.931,-72.686
"14",41.931,-72.686
"14",41.931,-72.686
"14",41.931,-72.686
"14",41.931,-72.686
"14",41.93,-72.629
"14",41.93,-72.629
