cluster_membership,lat_round,lon_round,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
13,41.559,-72.651,19,3,19,18,18,6,17,12,14,17,0,10,8,3,6,14
13,41.559,-72.651,19,3,19,18,18,18,5,12,14,17,0,10,8,11,1,14
13,41.559,-72.651,19,3,19,18,18,6,17,12,14,17,0,10,4,3,1,14
13,41.559,-72.651,19,3,19,18,1,6,0,12,14,17,0,10,8,3,1,14
13,41.559,-72.651,19,3,19,18,18,6,2,8,9,10,17,1,8,0,6,14
13,41.559,-72.651,19,3,19,18,18,6,17,8,9,1,6,1,0,0,18,14
19,41.936,-72.385,18,13,16,9,7,2,10,2,6,13,13,7,9,14,4,8
14,41.936,-72.385,18,16,17,6,7,2,13,2,10,13,7,18,14,18,14,8
14,41.936,-72.385,18,13,17,6,14,7,13,2,10,16,16,15,14,18,14,8
15,41.626,-72.776,1,3,19,18,18,18,5,12,14,17,0,10,8,3,1,18
15,41.626,-72.776,1,3,14,17,17,18,5,18,11,4,10,2,13,1,11,18
15,41.626,-72.776,1,3,14,16,1,15,2,8,9,10,17,1,0,0,6,18
2,41.855,-72.892,7,7,7,12,4,14,9,3,2,19,19,16,4,10,10,10
2,41.855,-72.892,7,7,14,2,4,14,17,3,6,15,13,1,0,0,6,10
2,41.855,-72.892,7,7,7,12,17,9,9,3,2,19,19,16,4,3,1,10
14,41.966,-72.553,10,16,17,9,7,2,2,2,10,13,7,7,0,18,14,9
14,41.966,-72.553,10,16,16,9,7,7,13,2,10,13,7,18,14,18,14,9
14,41.966,-72.553,10,16,16,9,4,14,9,3,2,15,13,7,9,14,4,9
14,41.966,-72.553,10,16,16,9,7,2,10,17,6,15,13,7,9,14,4,9
14,41.966,-72.553,10,16,16,9,4,14,10,3,2,19,13,16,4,10,10,9
14,41.966,-72.553,10,16,17,9,7,2,10,2,10,13,7,18,14,18,14,9
2,41.823,-72.895,7,7,7,2,17,14,9,3,14,19,19,7,8,3,10,10
2,41.823,-72.895,7,7,14,2,18,9,9,3,2,19,13,7,9,14,4,10
2,41.823,-72.895,7,7,7,2,17,14,9,3,2,19,19,7,8,14,4,10
2,41.823,-72.895,7,10,14,16,7,15,2,8,6,10,17,1,8,0,6,10
13,41.511,-72.593,19,3,19,18,18,18,5,3,2,19,19,16,4,10,10,14
13,41.511,-72.593,19,18,15,8,1,6,0,9,18,6,11,6,12,5,9,14
13,41.511,-72.593,19,18,15,8,9,13,16,8,9,10,17,1,15,5,17,14
13,41.511,-72.593,19,3,19,18,1,6,0,8,9,10,17,10,8,3,1,14
13,41.511,-72.593,19,3,19,18,1,15,2,0,0,1,6,15,0,0,6,14
13,41.511,-72.593,19,3,19,18,10,6,0,8,9,10,6,1,0,0,17,14
15,41.677,-72.821,1,0,14,16,18,6,0,12,14,10,0,1,0,0,6,18
15,41.677,-72.821,1,3,1,17,6,1,5,12,11,4,10,2,13,1,11,18
15,41.677,-72.821,1,14,14,17,17,9,5,3,19,4,10,2,13,1,11,18
1,41.821,-73.296,12,6,0,15,8,9,9,6,19,4,0,16,8,3,1,15
1,41.821,-73.296,12,6,0,15,0,12,1,15,12,0,5,13,18,13,0,15
1,41.821,-73.296,12,6,0,15,0,12,1,15,12,0,5,13,18,13,0,15
8,41.846,-72.646,10,16,14,2,4,14,17,12,14,17,0,10,4,10,10,4
8,41.846,-72.646,10,10,14,9,7,2,2,2,10,13,7,1,0,0,17,4
8,41.846,-72.646,10,16,16,9,4,2,10,2,10,13,7,7,9,14,4,4
10,41.586,-73.083,3,14,19,18,18,6,17,8,9,1,6,1,11,17,17,12
10,41.586,-73.083,3,2,11,4,8,1,19,6,19,4,10,2,13,1,11,12
10,41.586,-73.083,3,2,11,4,8,1,19,1,19,9,10,9,13,16,11,12
10,41.586,-73.083,3,14,11,4,8,1,5,12,14,17,0,10,13,1,11,12
10,41.586,-73.083,3,14,11,4,8,1,5,12,11,17,8,10,15,11,18,12
10,41.586,-73.083,3,2,11,4,8,1,19,6,19,4,10,2,13,13,11,12
15,41.698,-72.786,1,10,14,2,17,9,17,12,14,10,17,10,0,0,6,18
15,41.698,-72.786,1,3,19,16,1,6,0,8,9,10,17,15,0,0,17,18
15,41.698,-72.786,1,10,14,2,18,14,17,8,9,10,17,10,8,0,6,18
15,41.698,-72.786,1,7,14,16,1,6,17,12,14,10,0,10,8,3,10,18
15,41.698,-72.786,1,10,14,2,1,6,17,12,14,10,17,10,8,3,1,18
15,41.698,-72.786,1,10,7,12,18,18,5,12,14,17,0,10,15,0,6,18
20,41.653,-72.877,14,14,1,17,18,6,17,8,9,17,17,1,11,17,17,18
20,41.653,-72.877,14,14,19,18,10,6,0,12,9,10,17,6,15,11,9,18
20,41.653,-72.877,14,14,1,17,8,1,19,6,19,0,5,2,13,13,0,18
20,41.605,-72.894,14,14,1,17,6,1,5,18,11,4,10,4,13,3,1,18
20,41.605,-72.894,14,3,1,17,6,18,0,12,14,17,0,10,8,8,1,18
20,41.605,-72.894,14,14,1,17,6,18,5,18,19,4,10,2,13,1,11,18
20,41.605,-72.894,14,14,1,17,6,18,5,18,11,12,8,4,1,8,8,18
20,41.605,-72.894,14,14,1,18,18,18,5,3,2,19,0,10,8,10,10,18
20,41.605,-72.894,14,14,1,17,8,1,5,12,14,17,17,1,15,3,6,18
15,41.59,-72.805,19,3,1,18,6,18,5,18,11,17,0,17,8,3,1,18
15,41.59,-72.805,19,3,19,18,10,4,0,4,18,18,17,17,1,8,1,18
15,41.59,-72.805,19,3,1,17,18,18,5,3,2,19,10,2,13,1,11,18
20,41.557,-72.853,14,3,19,8,1,13,0,9,13,6,6,1,0,0,6,18
20,41.557,-72.853,14,3,1,17,8,1,19,6,19,4,10,2,13,1,1,18
20,41.557,-72.853,14,3,19,16,1,6,17,8,9,10,17,1,0,0,17,18
20,41.557,-72.853,14,14,1,17,18,18,0,4,11,18,3,4,1,19,18,18
20,41.557,-72.853,14,14,1,17,6,18,5,12,14,10,17,10,8,3,1,18
20,41.557,-72.853,14,3,1,17,18,18,5,12,14,17,0,10,8,3,1,18
13,41.741,-72.584,11,10,14,16,1,2,2,17,6,15,13,7,9,14,4,4
13,41.741,-72.584,11,0,14,9,4,14,17,17,6,15,13,7,9,14,6,4
13,41.741,-72.584,11,0,4,6,7,15,2,0,0,1,6,15,11,17,17,4
1,41.717,-73.261,16,17,8,15,8,12,1,6,12,4,19,2,4,3,1,15
1,41.717,-73.261,16,17,8,4,8,1,14,1,19,9,14,2,1,8,8,15
1,41.717,-73.261,16,17,0,15,0,12,1,15,8,0,5,13,18,13,0,15
20,41.587,-72.893,14,14,1,17,8,18,5,3,19,17,17,1,0,0,6,18
20,41.587,-72.893,14,14,19,18,10,6,0,12,14,17,0,17,15,11,18,18
20,41.587,-72.893,14,3,4,16,1,6,0,12,9,10,17,10,8,3,1,18
19,41.873,-72.338,18,13,16,9,4,2,10,2,6,15,13,7,9,14,4,8
19,41.873,-72.338,18,13,17,6,7,7,13,0,0,1,6,1,0,0,6,8
19,41.873,-72.338,18,13,17,9,7,2,10,2,6,13,7,18,9,18,14,8
19,41.71,-72.474,11,0,4,16,4,2,10,2,10,13,7,18,0,0,14,8
18,41.71,-72.474,11,0,4,6,7,15,13,0,0,1,16,5,3,9,2,8
13,41.71,-72.474,11,0,4,16,1,15,13,0,0,16,16,5,11,17,17,8
19,41.709,-72.475,11,0,4,16,1,6,2,8,0,1,6,1,0,0,6,8
18,41.709,-72.475,11,0,4,2,18,6,17,12,14,17,0,10,8,3,1,8
13,41.709,-72.475,11,0,4,6,7,15,13,16,3,16,16,5,14,18,14,8
13,41.666,-72.638,1,10,19,18,18,18,5,12,11,17,0,10,1,8,1,14
13,41.666,-72.638,1,3,4,18,18,6,17,8,9,10,17,17,8,3,1,14
13,41.666,-72.638,1,0,4,16,1,15,2,8,6,15,13,1,0,0,6,14
13,41.668,-72.638,1,3,19,18,1,15,6,0,0,14,6,15,0,0,17,14
13,41.668,-72.638,1,0,4,16,1,6,2,0,0,6,6,6,12,11,9,14
13,41.668,-72.638,1,10,14,2,18,14,17,12,14,17,0,10,0,3,6,14
18,41.544,-72.506,8,0,15,8,9,13,0,8,9,10,17,10,8,11,18,14
11,41.544,-72.506,8,18,15,8,9,6,0,8,9,1,6,1,15,5,17,14
18,41.544,-72.506,8,0,4,16,1,6,0,8,9,10,17,1,0,0,6,14
19,41.865,-72.274,18,13,17,6,7,2,10,2,6,13,7,7,9,14,4,8
19,41.865,-72.274,18,13,17,6,7,2,10,2,6,13,7,18,9,14,4,8
19,41.865,-72.274,18,13,17,6,14,11,3,16,3,8,2,5,3,7,19,8
19,41.74,-72.173,2,13,17,6,7,15,2,2,10,1,16,15,14,18,14,19
19,41.74,-72.173,2,13,17,6,3,15,13,16,3,7,15,5,3,17,2,19
19,41.74,-72.173,2,13,17,6,7,7,13,2,0,16,15,5,11,17,17,19
19,41.74,-72.173,2,13,10,11,14,11,3,16,3,16,16,5,3,9,2,19
19,41.74,-72.173,2,13,17,6,3,15,13,0,0,16,6,5,3,9,2,19
19,41.74,-72.173,2,13,17,6,3,7,13,0,0,16,16,5,11,9,2,19
19,41.979,-72.094,18,9,10,11,14,11,3,16,3,16,16,5,3,9,2,0
